isbn	title	publisher
1438432321	Conservatism and Racism, and Why in America They Are the Same (Suny Series in African American Studies): Robert Charles Smith: 9781438432328: Amazon.com: Books	 State University of New York Press (October 1, 2010)
1568587287	Amazon.com: The World As It Is: Dispatches on the Myth of Human Progress (9781568587288): Chris Hedges: Books	 Nation Books; Revised Edition edition (February 12, 2013)
0143035533	Politics: Observations and Arguments, 1966-2004: Hendrik Hertzberg: 9780143035534: Amazon.com: Books	 Penguin Books; First Edition edition (June 28, 2005)
0465046754	The Republican War on Science: Chris Mooney: 9780465046751: Amazon.com: Books	 Basic Books (August 30, 2005)
039331524X	The Godless Constitution: The Case Against Religious Correctness: Isaac Kramnick, R. Laurence Moore: 9780393315240: Amazon.com: Books	 W. W. Norton & Company (February 1997)
0312641648	The Obama Hate Machine: The Lies, Distortions, and Personal Attacks on the President---and Who Is Behind Them: Bill Press: 9780312641641: Amazon.com: Books	 Thomas Dunne Books (January 31, 2012)
038552062X	Amazon.com: The Great Derangement: A Terrifying True Story of War, Politics, and Religion (9780385520621): Matt Taibbi: Books	 Spiegel & Grau; Reprint edition (January 13, 2009)
0465083277	Radicals in Robes: Cass R. Sunstein: Amazon.com: Books	 Basic Books (December 4, 2006)
0807128562	Falling Up: How a Redneck Helped Invent Political Consulting (Politics Media): Raymond D. Strother: 9780807128565: Amazon.com: Books	 Louisiana State Univ Pr; First Edition edition (February 2003)
0679723153	The American Political Tradition: And the Men Who Made it: Richard Hofstadter: 9780679723158: Amazon.com: Books	 Vintage; First THUS Edition edition (April 23, 1989)
0979482267	Amazon.com: Why I&#39;m a Democrat (9780979482267): Susan Mulcahy, David Brock: Books	 PoliPointPress (July 4, 2008)
1587610957	Positively Gay: New Approaches to Gay and Lesbian Life: Betty Berzon, Barney Frank: 9781587610950: Amazon.com: Books	 Celestial Arts; 3 edition (August 21, 2001)
0801484510	Radical Democracy: C. Douglas Lummis: 9780801484513: Amazon.com: Books	 Cornell University Press (July 2, 1997)
0470372303	Amazon.com: Now or Never: Getting Down to the Business of Saving Our American Dream: Jack Cafferty: Books	 Wiley (March 9, 2009)
938104306X	Amazon.com: Human Rights: Voices of World&#39;s Young Activists (Critical Debates on Frontpage) (9789381043066): Amii Omara-Otunnu, Amil Omara-Otunnu, Sergio Mobilia, Bandana Purkayastha: Books	 frontpage (June 1, 2012)
0375413383	Political Fictions: Joan Didion: 9780375413384: Amazon.com: Books	 Knopf; 1 edition (September 11, 2001)
0977795365	Overthrow a Fascist Regime on $15 a Day: Wayne Madsen: 9780977795369: Amazon.com: Books	 Trine Day; 1 edition (January 21, 2008)
031600023X	Amazon.com: Worse Than Watergate: The Secret Presidency of George W. Bush (9780316000239): John W. Dean: Books	 Little, Brown and Company; 1 edition (April 6, 2004)
0806139447	Amazon.com: A Letter to America (9780806139449): David L. Boren: Books	 Univ of Oklahoma Pr (Trd); First Printing edition (February 28, 2008)
0743228421	My Declaration of Independence: James M. Jeffords: 9780743228428: Amazon.com: Books	 Simon & Schuster; 1st edition (November 15, 2001)
0312561652	Amazon.com: Letter to a New President: Commonsense Lessons for Our Next Leader: Robert C. Byrd Sen., Steve Kettmann: Books	 St. Martin's Griffin; First Edition edition (January 6, 2009)
1597776467	The Governor: Rod Blagojevich: Amazon.com: Books	 Phoenix Books; First Edition edition (September 8, 2009)
0521150175	Human Rights, State Compliance, and Social Change: Assessing National Human Rights Institutions (English and English Edition): Ryan Goodman, Thomas Pegram: 9780521150170: Amazon.com: Books	 Cambridge University Press (November 14, 2011)
1611681863	Amazon.com: An Uncommon Man: The Life and Times of Senator Claiborne Pell (9781611681864): G. Wayne Miller: Books	 UPNE (October 11, 2011)
1416574689	Amazon.com: The Conservative Assault on the Constitution: Erwin Chemerinsky: Books	 Simon & Schuster (September 28, 2010)
140006676X	Amazon.com: Truth and Consequences: Special Comments on the Bush Administration&#39;s War on American Values (9781400066766): Keith Olbermann: Books	 Random House; 1 edition (December 26, 2007)
0700616721	Getting the Left Right: The Transformation, Decline, and Reformation of American Liberalism: Thomas A. Spragens Jr.: 9780700616725: Amazon.com: Books	 University Press of Kansas (September 1, 2009)
0812242157	Universal Human Rights and Extraterritorial Obligations (Pennsylvania Studies in Human Rights): Mark Gibney, Sigrun Skogly: 9780812242157: Amazon.com: Books	 University of Pennsylvania Press (January 26, 2010)
1593376197	Jesus Rode A Donkey: Why Republicans Don&#39;t Have the Corner on Christ: Linda Seger: Amazon.com: Books	 Adams Media (July 24, 2006)
0813125960	Amazon.com: The Dilemmas of American Conservatism (9780813125961): Kenneth L. Deutsch, Ethan Fishman: Books	 The University Press of Kentucky; 1St Edition edition (August 18, 2010)
074328075X	The Fall of the House of Bush: The Untold Story of How a Band of True Believers Seized the Executive Branch, Started the Iraq War, and Still Imperils America&#39;s Future: Craig Unger: 9780743280754: Amazon.com: Books	 Scribner; 1 edition (November 13, 2007)
1590201833	Amazon.com: Reporting America: Alistair Cooke: Books	 Overlook Hardcover (November 26, 2008)
0975574906	Amazon.com: We Stand Passively Mute (9780975574904): Robert C. Byrd: Books	 Papyngay Press (July 2004)
1565848918	Amazon.com: Spanking the Donkey: Dispatches from the Dumb Season (9781565848917): Matt Taibbi: Books	 New Press, The (April 29, 2005)
0801879671	Daniel Patrick Moynihan: The Intellectual in Public Life: Robert A. Katzmann: 9780801879678: Amazon.com: Books	 The Johns Hopkins University Press; 2 edition (March 17, 2004)
1594868077	Madam Speaker: Nancy Pelosi&#39;s Life, Times, and Rise to Power: Marc Sandalow: Amazon.com: Books	 Modern Times; First Edition edition (April 29, 2008)
0140088199	With All Disrespect: Calvin Trillin: 9780140088199: Amazon.com: Books	 Penguin Books (July 1, 1986)
082720034X	A New Evangelical Manifesto: A Kingdom Vision for the Common Good: David P. Gushee: 9780827200340: Amazon.com: Books	 Chalice Press (August 30, 2012)
1932595422	The 35 Articles of Impeachment and the Case for Prosecuting George W. Bush: Dennis Kucinich, David Swanson, Elizabeth de la Vega: 9781932595420: Amazon.com: Books	 Feral House; annotated edition edition (November 1, 2008)
1441126937	Answering Back: Liberal Responses to Conservative Arguments: David Coates: 9781441126931: Amazon.com: Books	 Continuum; 1 edition (December 31, 2009)
0307236897	The Republican Noise Machine: Right-Wing Media and How It Corrupts Democracy: David Brock: 9780307236890: Amazon.com: Books	 Three Rivers Press; Reprint edition (April 12, 2005)
0307386252	Amazon.com: The Future of Liberalism (9780307386250): Alan Wolfe: Books	 Vintage (February 9, 2010)
0553382926	The War on Choice: The Right-Wing Attack on Women&#39;s Rights and How to Fight Back: Gloria Feldt: 9780553382921: Amazon.com: Books	 Bantam (April 13, 2004)
0679753141	The End Of Reform: New Deal Liberalism in Recession and War: Alan Brinkley: 9780679753148: Amazon.com: Books	 Vintage (January 30, 1996)
1844677575	The Obama Syndrome: Surrender at Home, War Abroad: Tariq Ali: 9781844677573: Amazon.com: Books	 Verso; Updated edition (September 1, 2011)
0547085702	The Big Con: Crackpot Economics and the Fleecing of America: Jonathan Chait: Amazon.com: Books	 Mariner Books; Reprint edition (September 3, 2008)
0231126093	Reclaiming the Enlightenment: Toward a Politics of Radical Engagement: Stephen Eric Bronner: 9780231126090: Amazon.com: Books	 Columbia University Press (May 16, 2006)
0679754881	Nothin&#39; But Good Times Ahead: Molly Ivins: 9780679754886: Amazon.com: Books	 Vintage; 1st Vintage Books Ed edition (September 27, 1994)
0679451528	This Noble Land: My Vision for America: James A. Michener: 9780679451525: Amazon.com: Books	 Random House; 1 edition (October 8, 1996)
0814799841	The Left at War (Cultural Front): Michael F. Bérubé: 9780814799840: Amazon.com: Books	 NYU Press (November 16, 2009)
0394488806	American Political Tradition: Richard Hofstadter: 9780394488806: Amazon.com: Books	 Knopf; 2 Revised edition (November 12, 1973)
